,name,occupation,dob,country
69,Yousaf Raza Gillani,prime minister,,pakistan
70,Ajab Gul,actor,,pakistan
71,Umar Gul,cricketer,,pakistan
72,Amin Guljee,sculptor,,pakistan
73,Yasir Hameed,cricketer,,pakistan
74,Mohsin Hamid,author,,pakistan
75,Mohammed Hanif,"writer, journalist",,pakistan
76,Aminah Haq,actress,,pakistan
77,Inzamam-ul-Haq,cricketer,,pakistan
78,Misbah-ul-Haq,cricketer,,pakistan
79,Khalid Hasan,"journalist, writer",,pakistan
80,Nazia Hasan,singer,,pakistan
81,Zohaib Hasan,musician,,pakistan
82,Naeem Hashmi,"actor, writer, poet, producer, director",,pakistan
83,Pervez Hoodbhoy,nuclear physicist,,pakistan
84,Ishrat Husain,"banker, economist",,pakistan
85,Altaf Hussain,"founder, leader Muttahida Quami Movement",,pakistan
86,Chaudhry Shujaat Hussain,former prime minister,,pakistan
87,Taimur Hussain,golfer,,pakistan
88,Talat Hussain,"journalist, actor",,pakistan
89,Rohail Hyatt,"musician, producer, songwriter",,pakistan
90,Kamal Irani,actor,,pakistan
91,Zamir Jafri,poet,,pakistan
92,Asma Jahangir,"lawyer, advocate",,pakistan
93,Ayesha Jalal,"sociologist, historian",,pakistan
94,Zafarullah Khan Jamali,former prime minister,,pakistan
95,Junaid Jamshed,musician,,pakistan
96,Ghulam Mustafa Jatoi,former acting prime minister,,pakistan
97,Aaqib Javed,"cricketer, coach",,pakistan
98,Mohtarma Fatima Jinnah,"dental surgeon, biographer, stateswoman",,pakistan
99,Muhammad Ali Jinnah,"lawyer, politician, ""father of the nation""",,pakistan
100,Muhammad Khan Junejo,former prime minister,,pakistan
101,Junoon,band,,pakistan
102,Abdul Hafeez Kardar,cricketer,,pakistan
103,Khurshid Mahmud Kasuri,"politician, diplomat, foreign minister",,pakistan
104,Dr. Rashid Kausar,"scholar, motivational speaker",,pakistan
105,Ahmed Hussain A. Kazi,"lawyer, economist",,pakistan
106,Malik Meraj Khalid,former prime minister,,pakistan
107,Chaudhry Khaliquzzaman,politician,,pakistan
108,Dr. Abdul Qadeer Khan,nuclear scientist,,pakistan
109,Ayub Khan,"former president, first military dictator",,pakistan
110,Ghulam Ishaq Khan,former president,,pakistan
111,Gohar Ayub Khan,politician,,pakistan
112,Hashim Khan,squash player,,pakistan
113,Dr. Hasnat Khan,heart surgeon,,pakistan
114,Imran Khan,cricketer,,pakistan
115,Ishrat-ul-Ibad Khan,politician,,pakistan
116,Jahangir Khan,squash player,,pakistan
117,Jansher Khan,squash player,,pakistan
118,Kamran Khan,journalist,,pakistan
119,Liaquat Ali Khan,"former prime minister, leading founding father",,pakistan
120,Mahira Khan,actress,,pakistan
121,Marina Khan,actress,,pakistan
122,Moin Khan,cricketer,,pakistan
123,Nadia Khan,"television presenter, actress, producer",,pakistan
124,Nusrat Fateh Ali Khan,musician,,pakistan
125,Sahabzada Yaqub Khan,minister of foreign affairs,,pakistan
126,Samiullah Khan,field hockey player,,pakistan
127,Yahya Khan,former president,,pakistan
128,Younis Khan,cricketer,,pakistan
129,Yousaf Khan,actor,,pakistan
130,Hina Rabbani Khar,"politician, foreign affairs minister",,pakistan
131,Riaz Khokhar,former secretary,,pakistan
132,Hadiqa Kiani,"singer, songwriter",,pakistan
133,Iqbal Ali Lakhani,industrialist,,pakistan
134,Naseebo Lal,singer,,pakistan
135,Yasmeen Lari,architect,,pakistan
136,Rashid Latif,cricketer,,pakistan
137,Farooq Leghari,former president,,pakistan
138,Maliha Lodhi,"journalist, academic, ambassador",,pakistan
139,Alam Lohar,singer,,pakistan
140,Arif Lohar,singer,,pakistan
141,Nadeem Malik,journalist,,pakistan
142,Shoaib Malik,cricketer,,pakistan
143,Mian Muhammad Mansha,industrialist,,pakistan
144,Jamsheed Marker,diplomat,,pakistan
145,Suneeta Marshall,actress,,pakistan
146,Dr. Shahid Masood,journalist,,pakistan
147,Khalid Masud,scholar,,pakistan
148,Abul A'la Maududi,"journalist, theologian, philosopher, scholar (born in India)",,pakistan
149,Balakh Sher Mazari,former prime minister,,pakistan
150,Meera,actress,,pakistan
151,Ajmal Mian,former chief justice,,pakistan
152,Iskander Mirza,former president,,pakistan
153,Tahir Mirza,journalist,,pakistan
154,Maaz Moeed,"singer, composer, musician",,pakistan
155,Bashir Ali Mohammad,business leader,,pakistan
156,Khan Mohammad,cricketer,,pakistan
157,Malik Ghulam Muhammad,former governor-general,,pakistan
158,Saleh Muhammed,snooker player,,pakistan
159,Huma Mulji,"sculptor, photographer",,pakistan
160,Muhammad Munir,former chief justice,,pakistan
161,Adil Murad,actor,,pakistan
162,Saqlain Mushtaq,cricketer,,pakistan
163,Ahmed Saeed Nagi,painter,,pakistan
164,Adil Najam,journalist,,pakistan
165,Anwar Naseem,biotechnologist,,pakistan
166,Sarfraz Nawaz,cricketer,,pakistan
167,Hameed Nizami,journalist,,pakistan
168,Feroz Khan Noon,politician,,pakistan
169,Ayesha Omar,actress,,pakistan
170,Professor dr. Ayub K. Ommaya,"neurosurgeon, inventor",,pakistan
171,Hafeez A. Pasha,economist,,pakistan
172,Deepak Perwani,fashion designer,,pakistan
173,Naveen Perwani,snooker player,,pakistan
174,Samina Pirzada,actress,,pakistan
175,Abdul Qadir,cricketer,,pakistan
176,Muhammad Tahir ul Qadir,"scholar, peace ambassador",,pakistan
177,Muhammad Ilyas Qadri,scholar,,pakistan
178,Moeenuddin Ahmad Qureshi,"former interim prime minister, economist",,pakistan
179,Mustafa Qureshi,actor,,pakistan
180,Shah Mehmood Qureshi,"politician, diplomat",,pakistan
181,Mehreen Raheel,actress,,pakistan
182,Danish Rahi,"design thinker, philosopher, humanitarian",,pakistan
183,Rashid Rana,artist,,pakistan
184,Sohail Rana,composer,,pakistan
185,Abdur Rashid,chief justice,,pakistan
186,Ahmed Rashid,journalist,,pakistan
187,Abdul Razzaq,cricketer,,pakistan
188,Fazal-ur-Rehman,politician,,pakistan
189,Kamiar Rokni,fashion designer,,pakistan
190,Shehzad Rov,singer,,pakistan
191,Shehzad Roy,"singer, politician",,pakistan
192,Munir Sadiq,sailor,,pakistan
193,Samiullah,field hockey player,,pakistan
194,Sangeeta,"actor, director",,pakistan
195,Tina Sani,singer,,pakistan
196,Hassan Sardar,field hockey player,,pakistan
197,Abdul Sattar,"diplomat, lawyer, former foreign minister",,pakistan
198,Najam Sethi,journalist,,pakistan
199,Rahim Shah,singer,,pakistan
200,Sajjida Shah,cricketer,,pakistan
201,Sajjad Ali Shah,former chief justice,,pakistan
202,Shafi Muhammad Shah,actor,,pakistan
203,Zahid Shah,cricketer,,pakistan
204,Muhammad Shahabuddin,former chief justice,,pakistan
205,Agha Shahi,former foreign affairs minister,,pakistan
206,Shaan Shahid,"actor, writer, director",,pakistan
207,Najmuddin Shaikh,"former diplomat, former foreign secretary",,pakistan
208,Parveen Shakir,"poet, teacher",,pakistan
209,Mehmood Sham,columnist,,pakistan
210,Babra Sharif,actress,,pakistan
211,Nawaz Sharif,former prime minister,,pakistan
212,Javed Sheikh,"actor, producer, director",,pakistan
213,Najmuddin Sheikh,diplomat,,pakistan
214,Zara Sheikh,actress,,pakistan
215,Najam Sheraz,singer,,pakistan
216,Kamal Siddiqi,journalist,,pakistan
217,Kazi Zulkader Siddiqui,"academician, social worker",,pakistan
218,Muhammad Mian Soomro,"politician, former prime minister, former president",,pakistan
219,Huseyn Shaheed Suhrawardy,former prime minister,,pakistan
220,Dr. Abid Qaiyum Suleri,"social analyst, development practitioner",,pakistan
221,Sabiha Sumar,filmmaker,,pakistan
222,Mushahid Hussain Syed,"politician, political journalist",,pakistan
223,Shazli Tahir,sailor,,pakistan
224,Mohammad Umar Taj,cricketer,,pakistan
225,Sohail Tanvir,cricketer,,pakistan
226,Muhammad Rafiq Tarar,former president,,pakistan
227,Mian Habib Ullah,"businessman, politician, diplomat",,pakistan
228,Sheraz Uppal,"singer, songwriter",,pakistan
229,Surendar Valasai,journalist,,pakistan
230,Vital Signs,band,,pakistan
231,Sohail Warraich,"television anchor, journalist",,pakistan
232,Wasif Ali Wasif,"teacher, writer, poet",,pakistan
233,Waqar Younis,former cricketer,,pakistan
234,Mohammad Yousuf (Yousuf Youhana),cricketer,,pakistan
235,Ali Zafar,"musician, composer, songwriter, singer",,pakistan
236,Ehsan Elahi Zaheer,scholar,,pakistan
237,Mansoor Zaman,squash player,,pakistan
238,Qamar Zaman,squash player,,pakistan
239,Tahir Zaman,field hockey player,,pakistan
240,Asif Ali Zardari,president,,pakistan
241,Zeest,band,,pakistan
242,Mukammad Zia-ul-Haq,former president,,pakistan
243,Prifessor Dr. Muhammad Suhail Zubairy,laser physicist,,pakistan
244,Nasira Zuberi,actor,,pakistan
245,Muhammad Atzal Zullah,former chief justice,,pakistan
246,Fazle Hasan Abed,social worker,,bangladesh
247,Zainul Abedin,painter,,bangladesh
248,Khondaker Mostaq Ahmad,former president,,bangladesh
249,Tajuddin Ahmad,"statesman, former prime minister",,bangladesh
250,A. F. Salahuddin Ahmed,historian,,bangladesh
251,Humayun Ahmed,"writer, filmmaker",,bangladesh
252,Moudud Ahmed,former prime minister,,bangladesh
253,Muzaffar Ahmed,"economist, professor",,bangladesh
254,Shahabuddin Ahmed,"former president, former chief justice",,bangladesh
255,Tajuddin Ahmed,"statesman, former prime minister",,bangladesh
256,Abdullah-Al-Muti,scientist,,bangladesh
257,Maqsudul Alam,"scientist, professor",,bangladesh
258,Shahidul Alam,photographer,,bangladesh
259,Alaol,poet,,bangladesh
260,Khan Jahan Ali,Muslim Saint,,bangladesh
261,Monica Ali,writer,,bangladesh
262,Muhammad Mansur Ali,"founding leader, former prime minister",,bangladesh
263,Syed Modasser Ali,pioneer in ophthalmology,,bangladesh
264,Mahfuz Anam,editor,,bangladesh
265,Tahmima Anam,"writer, novelist",,bangladesh
266,Mohammad Ashraful,cricketer,,bangladesh
267,Sheikh Aslam,football player,,bangladesh
268,Atisha,Buddhist teacher,,bangladesh
269,Abdus Samad Azad,"diplomat, former foreign minister",,bangladesh
270,Rafiq Azad,poet,,bangladesh
271,Ghulam Azam,political leader,,bangladesh
272,Gaura Kisora dasa Babaji,Hindu Saint,,bangladesh
273,Ayub Bachchu,musician,,bangladesh
274,Habibul Bashar,cricketer,,bangladesh
275,Maulana Abdul Hamid Bhashani,political leader,,bangladesh
276,Reefat Bin-Sattar,chess player,,bangladesh
277,Bobita,actress,,bangladesh
278,Anwar Choudhury,diplomat,,bangladesh
279,Munier Choudhury,"educationist, playwright, critic",,bangladesh
280,Salah Choudhury,editor,,bangladesh
281,Aminul Islam Chowdhury,politician,,bangladesh
282,A.Q.M. Badruddoza Chowdhury,former president,,bangladesh
283,Matia Chowdhury,politician,,bangladesh
284,Mukhlesur Rahman Chowdhury,advisor,,bangladesh
285,Brojen Das,swimmer who crossed the English channel four times,,bangladesh
286,Sumita Devi,actress,,bangladesh
287,Akhteruzzaman Elias,"novelist, writer",,bangladesh
288,Hussain Muhammad Ershad,former president,,bangladesh
289,Humayun Faridi,actor,,bangladesh
290,Shah M. Faruque,microbiologist,,bangladesh
291,Abul Fateh,"diplomat, statesman",,bangladesh
292,Mirza Ghulam Hafiz,"statesman, politician, philanthropist",,bangladesh
293,Rani Hamid,chess player,,bangladesh
294,Nasreen Pervin Haq,women's rights activist,,bangladesh
295,Saleemul Haq,scientist,,bangladesh
296,Sikdar Aminul Haq,"poet, author",,bangladesh
297,Waheedul Haq,"journalist, writer",,bangladesh
298,Shakib Al Hasan,cricketer,,bangladesh
299,Mainul Hosein,editor,,bangladesh
300,Kamal Hossain,"politician, statesman, lawyer",,bangladesh
301,Khandkar Manwar Hossain,statistician,,bangladesh
302,Altaf Husain,journalist,,bangladesh
303,Roquia Sakhawat Hussain,"writer, social worker",,bangladesh
304,Abul Hussam,chemistry professor,,bangladesh
305,Tamim Iqbal,cricketer,,bangladesh
306,Jamal Nazrul Islam,"mathematical physicist, cosmologist",,bangladesh
307,Syed Nazrul Islam,former acting president,,bangladesh
308,Syed Jahangir,artist,,bangladesh
309,Jasimuddin,"poet, songwriter",,bangladesh
310,Zillur Rahman John,mime,,bangladesh
311,Abdul Jolil,politician,,bangladesh
312,Shahriyar Kabir,"author, journalist",,bangladesh
313,Panna Kaiser,"author, novelist",,bangladesh
314,Shahidullah Kaiser,"novelist, writer",,bangladesh
315,A H M Kamruzzaman,national leader of Bangladesh liberation war,,bangladesh
316,Sayeed Hassan Kanan,football player,,bangladesh
317,Mohammad Ataul Karim,scientist,,bangladesh
318,Sardar Fazlul Karim,"scholar, academic, essayist, philosopher",,bangladesh
319,Akbar Ali Khan,"economist, educationist",,bangladesh
320,Azam Khan,singer,,bangladesh
321,Fazlur Khan,structural engineer,,bangladesh
322,Irene Khan,human rights activist,,bangladesh
323,Morshed Khan,former foreign minister,,bangladesh
324,Muhammad Siddiq Khan,"librarian, pioneer in library science",,bangladesh
325,Shakib Khan,actor,,bangladesh
326,Runa Laila,singer,,bangladesh
327,Lalon,poet,,bangladesh
328,Zobera Rahman Linu,table tennis player,,bangladesh
329,Anandamayi Ma,"Hindu teacher, guru",,bangladesh
330,Manna,actor,,bangladesh
331,Tareque Masud,film director,,bangladesh
332,Tanvir Mokammel,film director,,bangladesh
333,A. H. M. Moniruzzaman,diplomat,,bangladesh
334,Mashrafe Mortaza,cricketer,,bangladesh
335,Anu Muhammad,"economist, political activist",,bangladesh
336,Niaz Murshed,chess player,,bangladesh
337,Mohammad Mushfiqur,cricketer,,bangladesh
338,Ron Mustafaa,actor,,bangladesh
339,Shahabuddin Nagari,"poet, writer, singer",,bangladesh
340,M. A. Naser,engineer,,bangladesh
341,Asaduzzaman Noor,"actor, politician, activist",,bangladesh
342,M.A.G. Osmani,commander-in-chief Bangladesh Forces,,bangladesh
343,Ayub Quadri,bureaucrat,,bangladesh
344,Iqbal Quadir,entrepreneur,,bangladesh
345,Mohammad Rafique,cricketer,,bangladesh
346,Atiur Rahman,economist,,bangladesh
347,Khan Ataur Rahman,"actor, director, producer, composer, singer",,bangladesh
348,Matiur Rahman,journalist,,bangladesh
349,Shah Azizur Rahman,former prime minister,,bangladesh
350,Shamsur Rahman,"poet, columnist, journalist",,bangladesh
351,Sheikh Mujibur Rahman,"father of the Bangladesh nation, former president, former prime minister",,bangladesh
352,Tarique Rahman,politician,,bangladesh
353,Ziaur Rahman,"army officer, former president, former prime minister",,bangladesh
354,Shahnaz Rahmatullah,singer,,bangladesh
355,Zahir Raihan,"novelist, writer, filmmaker",,bangladesh
356,Abdullah Al Rakib,chess player,,bangladesh
357,Bibi Russell,fashion designer,,bangladesh
358,Syed Rumman Bin Wali Sabbir,football player,,bangladesh
359,Kazi Salahuddin,football player,,bangladesh
360,Arunabh Sarkar,poet,,bangladesh
361,Suchitra Sen,actress,,bangladesh
362,Rudra Mohammad Shahidullah,poet,,bangladesh
363,Kamal Uddin Siddiqui,"economist, social scientist",,bangladesh
364,Rehman Sobhan,"economist, intellectual",,bangladesh
365,Ahmed Sofa,writer,,bangladesh
366,S.M. Sultan,painter,,bangladesh
367,Sheikh Hasina Wazed,prime minister,,bangladesh
368,Sabin Yasmin,singer,,bangladesh
369,Muhammad Yunus,economist,,bangladesh
370,Mahbub Jamal Zahedi,journalist,,bangladesh
371,Khodayyir Abbas,politician,,iraq
372,Ghaith Abdul-Ahad,journalist,,iraq
373,Layth Abdulamir,film director,,iraq
374,Rida Al Abdullah,singer,,iraq
375,Kasim Abid,"cameraman, film director, producer",,iraq
376,Abo of Tiflis,"Christian martyr, patron saint",,iraq
377,Faik Al-Aboudi,painter,,iraq
378,Acrassicauda,band,,iraq
379,Reem Alasadi,fashion designer,,iraq
380,Laith Alattar,"composer, singer",,iraq
381,Antonio Albadran,actor,,iraq
382,Dlawer Ala'Aldeen,"politician, educator, researcher",,iraq
383,Mohammed A. Aldouri,poltician,,iraq
384,Farida Mohammad Ali,singer,,iraq
385,Najah Ali,boxer,,iraq
386,Nadje Sadig Al-Ali,author,,iraq
387,Ayad Allawi,"politician, former prime minister",,iraq
388,Aiham Alsammarae,politician,,iraq
389,Sama Raena Alshaibi,"artist, photographer",,iraq
390,Usama Alshaibi,"filmmaker, visual artist",,iraq
391,Alaa Abdessaheb al-Alwan,politician,,iraq
392,Amer Alwan,film director,,iraq
393,Jaber Alwan,"artist, painter",,iraq
394,Namaa Alward,"actress, political activist",,iraq
395,Eli Amir,"writer, civil servant",,iraq
396,Jananne Al-Ani,artist,,iraq
397,Hisham N. Ashkouri,architect,,iraq
398,Jafar al-Askari,former prime minister,,iraq
399,Layla Al-Attar,"artist, painter",,iraq
400,Nadhmi Auchi,entrepreneur,,iraq
401,Halla Ayla,"artist, photographer",,iraq
402,Abdul-Wahid Aziz,"weightlifter, Olympic medalist",,iraq
403,Fadhil Al Azzawi,writer,,iraq
404,Jamil Bachir,musician,,iraq
405,Salaheddine Bahaaeddin,politician,,iraq
406,Zainab Bahrani,educator,,iraq
407,Ahmed Hassan al-Bakr,former president,,iraq
408,Joe Balass,film maker,,iraq
409,Nisrin Barwari,politician,,iraq
410,Massoud Barzani,president of Iraqi Kurdistan region,,iraq
411,Ala Bashir,"painter, sculptor",,iraq
412,Munir Bashir,musician,,iraq
413,Taha Baqir,"archaeologist, author, historian",,iraq
414,Alon Ben-Meir,political expert Middle East,,iraq
415,Kenza Braiga,actress,,iraq
416,Rifat Kamil Chadirji,"architect, author",,iraq
417,Ahmed Chalabi,politician,,iraq
418,Ra'anan Cohen,politician,,iraq
419,Ran Cohen,politician,,iraq
420,Mohamed Al-Daradji,film director,,iraq
421,Tamara Dhia,"actress, film producer",,iraq
422,Mar Dinkha IV,Catholicos-Patriarch,,iraq
423,Faisal II of Iraq,last king of Iraq,,iraq
424,Alexander Farsi,"model, actor",,iraq
425,Rashid Ali al-Gaylani,former prime minister,,iraq
426,Raad Ghantous,interior designer,,iraq
427,Nazem Al-Ghazali,"singer, songwriter",,iraq
428,Abd Al-Rahman Al-Gillani,first prime minister,,iraq
429,Shosha Goren,"actress, comedian",,iraq
430,Seta Hagopian,singer,,iraq
431,Rahim Al Haj,"musician, composer",,iraq
432,Abdul Aziz al Hakim,"theologian, politician",,iraq
433,Ja'far 'Abd Al-Hamid,filmmaker,,iraq
434,Mohsen Abdel Hamid,"politician, scholar",,iraq
435,Klodia Hanna,"singer, model",,iraq
436,Tariq Hashim,filmmaker,,iraq
437,Rauf Hassan,"journalist, writer",,iraq
438,Amira Hess,"poet, artist",,iraq
439,Saddam Hussein,former president,,iraq
440,Ibrahim al-Jaafari,"politician, former prime minister",,iraq
441,Parine Jaddo,film director,,iraq
442,Raed Jarrar,"architect, blogger, political advocate",,iraq
443,Zuhair Al-Jezairy,"journalist, editor",,iraq
444,Rassim al-Jumaili,"comedian, actor",,iraq
445,Hayv Kahraman,"artist, painter",,iraq
446,Fajer Al-Kaisi,"actor, comedian",,iraq
447,Hind Kamel,"actress, film director",,iraq
448,Hatem Kamil,former deputy governor,,iraq
449,Yonadam Kanna,politician,,iraq
450,Salam Karam,journalist,,iraq
451,Abderrahman Sadik Karim,"engineer, environmental activist",,iraq
452,Fakhriya Abdel Karim,"actress, activist",,iraq
453,Farouk Kaspaules,artist,,iraq
454,Jim Al-Khalili,"physicist, author",,iraq
455,Betool Khedairi,novelist,,iraq
456,Salama al-Khufaji,politician,,iraq
457,Raja Habib al-Khuzaai,politician,,iraq
458,Walid al-Kubaisi,author,,iraq
459,Leila Kubba,artist,,iraq
460,Nedim Kufi,visual artist,,iraq
461,Fareed Lafta,"pilot, athlete, cosmonaut",,iraq
462,Nazik Al-Malaika,poet,,iraq
463,Nouri al-Maliki,prime minister,,iraq
464,Alia Mamdouh,novelist,,iraq
465,Hassan Massoudy,calligrapher,,iraq
466,Rahma Mezher,singer,,iraq
467,Jamil al-Midfai,"politician, former prime minister",,iraq
468,Dunya Mikhail,poet,,iraq
469,Alphonse Mingana,"theologian, historian",,iraq
470,Abdul-Wahab Mirjan,former prime minister,,iraq
471,Yitzhak Mordechai,politician,,iraq
472,Majid Al Muhandis,"singer, composer",,iraq
473,Ahmed Mukhtar,musician,,iraq
474,Karo Murat,boxer,,iraq
475,Lauren Nadada,actress,,iraq
476,Aida Nadeem,musician,,iraq
477,Muhammad Najibar-Rubai,first president,,iraq
478,Armand Nassery,"author, filmmaker",,iraq
479,Eliyahu Nawi,"jurist, poet, politician",,iraq
480,Muayyed Nureddin,geologist,,iraq
481,Adnan Pachachi,"politician, diplomat",,iraq
482,Maysoon Pachachi,"film director, editor, producer",,iraq
483,Salima Pasha,singer,,iraq
484,Salam Pax,"blogger, translator, journalist",,iraq
485,Hanna Petros,composer,,iraq
486,Abdal-Karim Qasim,"army general, former prime minister",,iraq
487,David Rabeeya,"author, educator",,iraq
488,Mohammad Tofiq Rahim,politician,,iraq
489,Abdel Amir Abbud Rahima,politician,,iraq
490,Ibn Rajab,scholar,,iraq
491,Taha Yassin Ramadan,former vice president,,iraq
492,Latif Rashid,politician,,iraq
493,Hussam Al-Rassam,singer,,iraq
494,Hormuzd Rassam,assyriologist,,iraq
495,Shero Rauf,"actor, stuntman",,iraq
496,Basam Ridha,political advisor,,iraq
497,Rashid al-Rifai,politician,,iraq
498,Mowaffak al-Rubaie,statesman,,iraq
499,Abd al-Muhin Al-Saadoon,"politician, former prime minister",,iraq
500,Charles Saatchi,"advertising executive, co-founder Saatchi & Saatchi",,iraq
501,Salah al-Din al-Sabbagh,"army officer, nationalist",,iraq
502,Naji Sabri,politician,,iraq
503,Mohammad Baqir al-Sadr,"cleric, philosopher",,iraq
504,Muqtada al-Sadr,Iraqi Islamic political leader,,iraq
505,Mahmoud Saeed,novelist,,iraq
506,Muhammad Saeed al-Sahhaf,"diplomat, politician",,iraq
507,Faisel Laibi Sahi,artist,,iraq
508,Kadim Al Sahir,"musician, singer, songwriter",,iraq
509,Nuri al-Said,"politician, former prime minister",,iraq
510,Zainab Salbi,"writer, activist, social entrepreneur",,iraq
511,Hiner Saleem,film director,,iraq
512,Barham Salih,politician,,iraq
513,Ezzedine Salim,politician,,iraq
514,Saad Salman,film director,,iraq
515,Tamara Salman,design director,,iraq
516,Sarmed al-Samarrai,actor,,iraq
517,Osamah Sami,actor,,iraq
518,Ashur Bet Sargis,"composer, singer",,iraq
519,Imad Sarsam,"surgeon, educator",,iraq
520,David Sassoon,politician,,iraq
521,Janan Sawa,singer,,iraq
522,Hussain al-Shahristani,politician,,iraq
523,Laila Al Shaikhli,"anchorwoman, television presenter",,iraq
524,Hamid Raja Shalah,Iraqi air force commander,,iraq
525,Naseer Shamma,musician,,iraq
526,Nawfal Shamoun,singer,,iraq
527,Kadhem Sharif,"wrestler, weightlifter",,iraq
528,Naji Shawkat,"politician, former prime minister",,iraq
529,Hashim Abderrahman al-Shibli,politician,,iraq
530,Salim al-Shimiri,fashion designer,,iraq
531,Samuel Shimon,"writer, journalist",,iraq
532,Salman Shukur,musician,,iraq
533,Ronny Someck,"poet, author",,iraq
534,Hikmat Sulayman,"politician, former prime minister",,iraq
535,Tawfiq al-Suwaidi,"politician, former prime minister",,iraq
536,Abdul-Razzaq Ahmed Taha,chess player,,iraq
537,Sahar Taha,musician,,iraq
538,Sultan Hashim Ahmad al-Tai,politician,,iraq
539,Jalal Talabani,president,,iraq
540,Thaer Thabet,"activist, journalist",,iraq
541,Barzan Ibrahim al-Tikriti,Mukhabarat leader,,iraq
542,Rafi Daham al-Tikriti,former chief Iraq intelligence service,,iraq
543,Sabawi Ibrahim al-Tikriti,former leader Iraqi secret service,,iraq
544,Watban Ibrahim al-Tikriti,former senior interior minister,,iraq
545,Toma Tomas,"politician, guerilla leader",,iraq
546,Ibrahim Mohammad Bahr al-Ulloum,politician,,iraq
547,Mohammad Bahr al-Ulloum,politician,,iraq
548,Yitzhak Yamin,"painter, sculptor",,iraq
549,Ghazi Mashal Ajil al-Yawer,"politician, political activist",,iraq
550,Ovadia Yosef,scholar,,iraq
551,Haitham Yousif,"singer, composer, songwriter",,iraq
552,Ahmad ibn Yusuf,mathematician,,iraq
553,Zina Zaflow,actress,,iraq
554,Jamil Sidqi al-Zahawi,"poet, philosopher",,iraq
555,Khalil al-Zahawi,calligrapher,,iraq
556,Haifa Zangana,"novelist, artist, political activist",,iraq
557,Hoshyar Zebari,politician,,iraq
